Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D15,SK6805,LED_SK6812_EC15_1.5x1.5mm,111.31,-75.76,-25.0,top
D16,SK6805,LED_SK6812_EC15_1.5x1.5mm,124.243264,-88.691864,-65.0,top
D17,SK6805,LED_SK6812_EC15_1.5x1.5mm,125.84,-106.92,-105.0,top
D18,SK6805,LED_SK6812_EC15_1.5x1.5mm,115.34,-121.91,-145.0,top
D19,SK6805,LED_SK6812_EC15_1.5x1.5mm,95.35,-126.34,170.0,top
D20,SK6805,LED_SK6812_EC15_1.5x1.5mm,79.505467,-117.196025,130.0,top
D21,SK6805,LED_SK6812_EC15_1.5x1.5mm,73.25,-100.0,90.0,top
D22,SK6805,LED_SK6812_EC15_1.5x1.5mm,79.51,-82.8,50.0,top
D23,SK6805,LED_SK6812_EC15_1.5x1.5mm,95.355018,-73.658693,10.0,top
D24,SK6805,LED_SK6812_EC15_1.5x1.5mm,113.37,-76.84,-30.0,top
D25,SK6805,LED_SK6812_EC15_1.5x1.5mm,125.129878,-90.852058,-70.0,top
D26,SK6805,LED_SK6812_EC15_1.5x1.5mm,125.13,-109.15,-110.0,top
D27,SK6805,LED_SK6812_EC15_1.5x1.5mm,113.37415,-123.160848,-150.0,top
D28,SK6805,LED_SK6812_EC15_1.5x1.5mm,93.08,-125.84,165.0,top
D29,SK6805,LED_SK6812_EC15_1.5x1.5mm,78.09,-115.34,125.0,top
D30,SK6805,LED_SK6812_EC15_1.5x1.5mm,73.352492,-97.669068,85.0,top
D31,SK6805,LED_SK6812_EC15_1.5x1.5mm,81.09,-81.08,45.0,top
D32,SK6805,LED_SK6812_EC15_1.5x1.5mm,97.669064,-73.35249,5.0,top
D33,SK6805,LED_SK6812_EC15_1.5x1.5mm,115.34,-78.09,-35.0,top
D34,SK6805,LED_SK6812_EC15_1.5x1.5mm,125.832386,-93.074811,-75.0,top
D35,SK6805,LED_SK6812_EC15_1.5x1.5mm,124.24,-111.3,-115.0,top
D36,SK6805,LED_SK6812_EC15_1.5x1.5mm,111.3,-124.24,-155.0,top
D37,SK6805,LED_SK6812_EC15_1.5x1.5mm,90.85,-125.13,160.0,top
D38,SK6805,LED_SK6812_EC15_1.5x1.5mm,76.83915,-113.374149,120.0,top
D39,SK6805,LED_SK6812_EC15_1.5x1.5mm,73.653684,-95.352259,80.0,top
D40,SK6805,LED_SK6812_EC15_1.5x1.5mm,82.8,-79.51,40.0,top
D41,SK6805,LED_SK6812_EC15_1.5x1.5mm,99.999997,-73.249997,0.0,top
D42,SK6805,LED_SK6812_EC15_1.5x1.5mm,117.2,-79.51,-40.0,top
D43,SK6805,LED_SK6812_EC15_1.5x1.5mm,126.34,-95.36,-80.0,top
D44,SK6805,LED_SK6812_EC15_1.5x1.5mm,123.16,-113.38,-120.0,top
D45,SK6805,LED_SK6812_EC15_1.5x1.5mm,109.14,-125.13,-160.0,top
D46,SK6805,LED_SK6812_EC15_1.5x1.5mm,88.7,-124.24,155.0,top
D47,SK6805,LED_SK6812_EC15_1.5x1.5mm,75.762339,-111.308018,115.0,top
D48,SK6805,LED_SK6812_EC15_1.5x1.5mm,74.16,-93.08,75.0,top
D49,SK6805,LED_SK6812_EC15_1.5x1.5mm,84.660504,-78.093272,35.0,top
D50,SK6805,LED_SK6812_EC15_1.5x1.5mm,102.327505,-73.350929,-5.0,top
D51,SK6805,LED_SK6812_EC15_1.5x1.5mm,118.91,-81.08,-45.0,top
D52,SK6805,LED_SK6812_EC15_1.5x1.5mm,126.64,-97.67,-85.0,top
D53,SK6805,LED_SK6812_EC15_1.5x1.5mm,121.91,-115.34,-125.0,top
D54,SK6805,LED_SK6812_EC15_1.5x1.5mm,106.92,-125.83,-165.0,top
D55,SK6805,LED_SK6812_EC15_1.5x1.5mm,86.62,-123.17,150.0,top
D56,SK6805,LED_SK6812_EC15_1.5x1.5mm,74.87,-109.15,110.0,top
D57,SK6805,LED_SK6812_EC15_1.5x1.5mm,74.863228,-90.858952,70.0,top
D58,SK6805,LED_SK6812_EC15_1.5x1.5mm,86.624704,-76.835288,30.0,top
D59,SK6805,LED_SK6812_EC15_1.5x1.5mm,104.65,-73.66,-10.0,top
D60,SK6805,LED_SK6812_EC15_1.5x1.5mm,120.49,-82.8,-50.0,top
D61,SK6805,LED_SK6812_EC15_1.5x1.5mm,126.74,-100.0,-90.0,top
D62,SK6805,LED_SK6812_EC15_1.5x1.5mm,120.49,-117.2,-130.0,top
D63,SK6805,LED_SK6812_EC15_1.5x1.5mm,104.65,-126.34,-170.0,top
D64,SK6805,LED_SK6812_EC15_1.5x1.5mm,84.66,-121.91,145.0,top
D65,SK6805,LED_SK6812_EC15_1.5x1.5mm,74.161802,-106.921136,105.0,top
D66,SK6805,LED_SK6812_EC15_1.5x1.5mm,75.76,-88.69,65.0,top
D67,SK6805,LED_SK6812_EC15_1.5x1.5mm,88.697656,-75.761982,25.0,top
D68,SK6805,LED_SK6812_EC15_1.5x1.5mm,106.92,-74.16,-15.0,top
D69,SK6805,LED_SK6812_EC15_1.5x1.5mm,121.91,-84.66,-55.0,top
D70,SK6805,LED_SK6812_EC15_1.5x1.5mm,126.65,-102.33,-95.0,top
D71,SK6805,LED_SK6812_EC15_1.5x1.5mm,118.91,-118.91,-135.0,top
D72,SK6805,LED_SK6812_EC15_1.5x1.5mm,102.33,-126.65,-175.0,top
H1,MotorHole,MountingHole_M1.6,105.125427,-108.877499,0.0,top
H2,MotorHole,MountingHole_M1.6,89.749146,-100.0,0.0,top
H3,MountHole,MountingHole_2.2mm_M2_ISO7380_Pad_NonVirtual,70.2,-100.0,0.0,top
H4,MotorHole,MountingHole_M1.6,105.125427,-91.1225,0.0,top
H5,MountHole,MountingHole_2.2mm_M2_ISO7380_Pad_NonVirtual,100.0,-70.2,0.0,top
H6,MountHole,MountingHole_2.2mm_M2_ISO7380_Pad_NonVirtual,129.8,-100.0,0.0,top
H7,AlignmentHole,MountingHole_2.2mm_M2_ISO7380_Pad_NonVirtual,135.0,-100.0,0.0,top
H8,AlignmentHole,MountingHole_2.2mm_M2_ISO7380_Pad_NonVirtual,65.0,-100.0,0.0,top
J1,USB_C_Receptacle_USB2.0,USB4510_NoPaste,100.0,-140.6,0.0,top
J2,A,SolderPads_2mm_3_STRAIN,83.585786,-78.973699,135.0,bottom
J3,B,SolderPads_2mm_3_STRAIN,78.414213,-83.973699,135.0,bottom
J4,LCD,SolderPads_2mm_8,67.3375,-125.775,270.0,bottom
J5,LCD - FPC,Amphenol FCI FPC 8 pin 0.5 pitch,83.493814,-116.63877,225.0,bottom
J6,BLDC,532610371,116.108893,-116.338351,135.0,bottom
J7,Conn_01x04_Socket,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,117.6,-62.875,180.0,bottom
J8,Conn_01x04_Socket,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,133.2,-62.875,180.0,bottom
J9,Conn_01x04_Socket,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,125.4,-62.875,180.0,bottom
L1,3.3uH,L_0805_2012Metric,74.425,-72.75,-90.0,top
Q1,MMBT4403,SOT-23,72.175,-76.25,0.0,top
Q2,BSS138,SOT-23,108.1875,-67.3,0.0,top
Q3,BSS138,SOT-23,108.1875,-63.8,0.0,top
R1,5.1k,R_0603_1608Metric,103.8,-130.9,0.0,top
R2,5.1k,R_0603_1608Metric,96.2,-130.9,180.0,top
R3,330,R_2512_6332Metric,123.5,-100.0,0.0,bottom
R4,330,R_2512_6332Metric,115.6,-100.0,0.0,bottom
R5,2.2k,R_0603_1608Metric,67.25,-116.25,-90.0,top
R6,330,R_2512_6332Metric,84.4,-100.0,180.0,bottom
R7,330,R_2512_6332Metric,76.5,-100.0,180.0,bottom
R8,2.2k,R_0603_1608Metric,68.75,-116.25,90.0,top
R9,2.2k,R_0603_1608Metric,65.75,-114.074998,90.0,top
R10,2.2k,R_0603_1608Metric,64.249997,-114.074999,90.0,top
R11,100,R_0603_1608Metric,73.675,-66.75,0.0,top
R12,100,R_0603_1608Metric,73.675,-65.25,180.0,top
R13,10k,R_0603_1608Metric,71.675,-71.75,180.0,top
R14,8.2k,R_0603_1608Metric,71.675,-70.25,0.0,top
R15,10k,R_0603_1608Metric,127.6,-134.8,-90.0,top
R16,10k,R_0603_1608Metric,129.2,-134.8,-90.0,top
R17,10k,R_0603_1608Metric,130.8,-134.8,-90.0,top
R18,10k,R_0603_1608Metric,132.4,-134.8,-90.0,top
R19,10k,R_0603_1608Metric,134.0,-134.8,-90.0,top
R20,10k,R_0603_1608Metric,135.6,-134.8,-90.0,top
R21,10k,R_0603_1608Metric,82.0,-133.25,90.0,top
R22,10k,R_0603_1608Metric,84.25,-136.675002,-90.0,top
R23,10K,R_0603_1608Metric,94.75,-66.75,180.0,top
R24,10K,R_0603_1608Metric,105.45,-67.25,90.0,top
R25,10K,R_0603_1608Metric,105.4375,-63.874998,90.0,top
R26,10K,R_0603_1608Metric,94.75,-64.25,180.0,top
R27,10K,R_0603_1608Metric,111.15,-67.075,90.0,top
R28,10K,R_0603_1608Metric,111.15,-64.0,-90.0,top
SW1,RST,SW_SPST_PTS810,79.75,-132.25,90.0,bottom
SW2,Boot,SW_SPST_PTS810,75.75,-132.25,270.0,bottom
U1,SN74LV1T34DBV,SOT-23-5,89.6125,-136.81,0.0,top
U2,MT6701-CT,SOIC-8_3.9x4.9mm_P1.27mm,100.0,-100.0,135.0,top
U3,VEML7700,VEML7700-TOP,100.0,-61.0,0.0,bottom
U4,TS1117BCW33_RPG,SOT-223-3_TabPin2_GndOutIn,113.200002,-134.6,-90.0,top
U5,USBLC6-2SC6,SOT-23-6,89.75,-131.5,180.0,top
U6,HX711,SOIC-16_3.9x9.9mm_P1.27mm,66.175,-70.25,180.0,top
U7,ESP32-S3-1U-N16R8,ESP32-S3-WROOM-1U,69.235,-128.97,180.0,top
U8,TMC6300,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm_ThermalVias_LargerViaHoles,131.15,-121.8,90.0,top
U9,VL53L0CXV0DH_1,LGA12_1,100.0,-65.5,180.0,top
U10,LP5907MFX-2.8,SOT-23-5,114.1875,-64.8,180.0,top
